MySQL Shell 8.0.32

Copyright (c) 2016, 2023, Oracle and/or its affiliates.
Oracle is a registered trademark of Oracle Corporation and/or its affiliates.
Other names may be trademarks of their respective owners.

Type '\help' or '\?' for help; '\quit' to exit.
 MySQL  JS > \sql
Switching to SQL mode... Commands end with ;
 MySQL  SQL > \connect --mc root@localhost
Creating a Classic session to 'root@localhost'
Please provide the password for 'root@localhost': *************
Save password for 'root@localhost'? [Y]es/[N]o/Ne[v]er (default No): N
Fetching global names for auto-completion... Press ^C to stop.
Your MySQL connection id is 11
Server version: 8.0.32 MySQL Community Server - GPL
No default schema selected; type \use <schema> to set one.
 MySQL  localhost:3306 ssl  SQL > show databases;
+--------------------+
| Database           |
+--------------------+
| agencia            |
| ejemplo            |
| ejemplotdcs        |
| evaluacion_1       |
| information_schema |
| mysql              |
| ordenes_compra     |
| performance_schema |
| recursos_humanos   |
| sakila             |
| sys                |
| tarjetas_credito   |
| world              |
+--------------------+
13 rows in set (0.0018 sec)
 MySQL  localhost:3306 ssl  SQL > \use tarjetas_credito
Default schema set to `tarjetas_credito`.
Fetching global names, object names from `tarjetas_credito` for auto-completion... Press ^C to stop.
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > show tables;
+----------------------------+
| Tables_in_tarjetas_credito |
+----------------------------+
| bancos                     |
| clientes                   |
| tarjetas                   |
+----------------------------+
3 rows in set (0.0032 sec)
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > SELECT *
                                                 -> FROM tarjetas;
Empty set (0.0050 sec)
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > LOAD DATA INFILE 'C:\\ProgramData\\MySQL\\MySQL Server 8.0\\Uploads\\tarjetas.csv'
                                                 -> INTO TABLE Tarjetas
                                                 -> FIELDS TERMINATED BY ','
                                                 -> ENCLOSED BY '"'
                                                 -> LINES TERMINATED BY '\r\n'
                                                 -> IGNORE 1 LINES
                                                 -> (numero_tarjeta,banco_id,tipo_tarjeta,cliente_id,cvv_cvv2,fecha_expedicion,fecha_vencimiento,dia_pago,pin_tarjeta,limite_credito);
ERROR: 1292 (22007): Incorrect datetime value: '01/02/2011' for column 'fecha_expedicion' at row 1
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > LOAD DATA INFILE 'C:\\ProgramData\\MySQL\\MySQL Server 8.0\\Uploads\\tarjetas.csv' INTO TABLE Tarjetas FIELDS TERMINATED BY ',' ENCLOSED BY '"' LINES TERMINATED BY '\r\n' IGNORE 1 LINES (numero_tarjeta,banco_id,tipo_tarjeta,cliente_id,cvv_cvv2,fecha_expedicion,fecha_vencimiento,dia_pago,pin_tarjeta,limite_credito);
Query OK, 5000 rows affected (0.2639 sec)

Records: 5000  Deleted: 0  Skipped: 0  Warnings: 0
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > SELECT COUNT(*)
                                                 -> FROM Tarjetas;
+----------+
| COUNT(*) |
+----------+
|     5000 |
+----------+
1 row in set (0.0153 sec)
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > SELECT *
                                                 -> FROM Tarjetas
                                                 -> LIMIT 1000;
+------------------+----------+---------------------------+------------+----------+---------------------+---------------------+----------+-------------+----------------+
| numero_tarjeta   | banco_id | tipo_tarjeta              | cliente_id | cvv_cvv2 | fecha_expedicion    | fecha_vencimiento   | dia_pago | pin_tarjeta | limite_credito |
| 30392506337927   |        1 | Diners Club International |        311 | 71       | 2011-08-01 00:00:00 | 2027-08-01 00:00:00 |        8 | 7492        |         164400 |
| 36586565898521   |        1 | Diners Club International |        312 | 565      | 2011-07-01 00:00:00 | 2020-07-01 00:00:00 |       25 | 3713        |          41200 |
| 4219502363627290 |        7 | Visa                      |        313 | 653      | 2010-01-01 00:00:00 | 2023-01-01 00:00:00 |       28 | 3547        |         120600 |
| 346657289390023  |        8 | American Express          |        314 | 8873     | 2009-12-01 00:00:00 | 2017-12-01 00:00:00 |        6 | 3222        |         186000 |
| 375425486528546  |       11 | American Express          |        315 | 5489     | 2012-01-01 00:00:00 | 2017-01-01 00:00:00 |       26 | 1357        |         106800 |
| 3573839538309000 |        3 | Japan Credit Bureau       |        316 | 840      | 2014-07-01 00:00:00 | 2025-07-01 00:00:00 |        7 | 6918        |          55500 |
| 3535306244815600 |        3 | Japan Credit Bureau       |        317 | 547      | 2011-05-01 00:00:00 | 2027-05-01 00:00:00 |        7 | 3022        |         138800 |
| 4077503797454990 |        9 | Visa                      |        318 | 551      | 2008-04-01 00:00:00 | 2016-04-01 00:00:00 |        2 | 1322        |          81700 |
| 3557118525837620 |        3 | Japan Credit Bureau       |        319 | 918      | 2014-10-01 00:00:00 | 2018-10-01 00:00:00 |       19 | 3686        |          58300 |
| 371190543859854  |        8 | American Express          |        320 | 4167     | 2015-12-01 00:00:00 | 2019-12-01 00:00:00 |        5 | 6292        |         168900 |
| 4586224675592590 |       10 | Visa                      |        321 | 144      | 2012-05-01 00:00:00 | 2026-05-01 00:00:00 |       15 | 9150        |          90000 |
| 6573525997524100 |        6 | Discover                  |        322 | 74       | 2009-02-01 00:00:00 | 2021-02-01 00:00:00 |       28 | 1024        |          68900 |
| 344949017455687  |       11 | American Express          |        323 | 4470     | 2012-05-01 00:00:00 | 2020-05-01 00:00:00 |       24 | 7979        |         102300 |
| 3533057562943980 |        3 | Japan Credit Bureau       |        324 | 825      | 2016-07-01 00:00:00 | 2027-07-01 00:00:00 |       26 | 5310        |          51900 |
| 4838940156548380 |        2 | Visa                      |        325 | 761      | 2016-07-01 00:00:00 | 2021-07-01 00:00:00 |        8 | 6919        |          13000 |
| 3550851181858080 |        3 | Japan Credit Bureau       |        326 | 600      | 2017-02-01 00:00:00 | 2029-02-01 00:00:00 |        2 | 7745        |         129800 |
| 5363009128374070 |        9 | Master Card               |        327 | 381      | 2008-11-01 00:00:00 | 2019-11-01 00:00:00 |       22 | 1644        |          62400 |
| 6011147432690280 |        6 | Discover                  |        328 | 891      | 2012-04-01 00:00:00 | 2018-04-01 00:00:00 |       23 | 7787        |         136100 |
| 4637700044018750 |       16 | Visa                      |        329 | 288      | 2015-12-01 00:00:00 | 2032-12-01 00:00:00 |        3 | 6311        |         162300 |
| 3560852979258230 |        3 | Japan Credit Bureau       |        330 | 120      | 2013-08-01 00:00:00 | 2016-08-01 00:00:00 |        1 | 1300        |         122900 |
| 30581879278789   |        1 | Diners Club International |        331 | 898      | 2014-09-01 00:00:00 | 2031-09-01 00:00:00 |       17 | 7579        |          97900 |
| 377332919956138  |        8 | American Express          |        332 | 50       | 2015-08-01 00:00:00 | 2019-08-01 00:00:00 |        5 | 5890        |         149600 |
| 344609750795158  |        8 | American Express          |        333 | 8261     | 2014-10-01 00:00:00 | 2015-10-01 00:00:00 |       25 | 379         |          90800 |
| 3555987069550100 |        3 | Japan Credit Bureau       |        334 | 433      | 2016-04-01 00:00:00 | 2028-04-01 00:00:00 |       21 | 3663        |          99400 |
| 38757447553042   |        1 | Diners Club International |        335 | 558      | 2016-04-01 00:00:00 | 2027-04-01 00:00:00 |        4 | 6355        |         114600 |
| 30574055642258   |        1 | Diners Club International |        336 | 591      | 2009-10-01 00:00:00 | 2025-10-01 00:00:00 |       20 | 3871        |         177800 |
| 5121193205168310 |        9 | Master Card               |        337 | 865      | 2007-02-01 00:00:00 | 2012-02-01 00:00:00 |       19 | 4689        |          77400 |
| 4343314609053790 |        2 | Visa                      |        338 | 598      | 2008-08-01 00:00:00 | 2028-08-01 00:00:00 |       13 | 1809        |         174000 |
| 6011877150067310 |        6 | Discover                  |        339 | 169      | 2015-10-01 00:00:00 | 2029-10-01 00:00:00 |       26 | 3525        |          88100 |
| 3580474687432990 |        3 | Japan Credit Bureau       |        340 | 837      | 2011-01-01 00:00:00 | 2026-01-01 00:00:00 |       28 | 8752        |          88500 |
| 6011637491848820 |        6 | Discover                  |        341 | 7        | 2011-01-01 00:00:00 | 2029-01-01 00:00:00 |       10 | 1090        |         166400 |
| 345194767901486  |        8 | American Express          |        342 | 6699     | 2011-08-01 00:00:00 | 2013-08-01 00:00:00 |        1 | 7161        |         134100 |
| 371572100694784  |        8 | American Express          |        343 | 5379     | 2010-02-01 00:00:00 | 2016-02-01 00:00:00 |        1 | 2940        |          67400 |
| 3556416945710710 |        3 | Japan Credit Bureau       |        344 | 710      | 2017-10-01 00:00:00 | 2033-10-01 00:00:00 |       28 | 9454        |          65000 |
| 30482087424283   |        1 | Diners Club International |        345 | 829      | 2015-12-01 00:00:00 | 2025-12-01 00:00:00 |       27 | 3135        |         144900 |
| 374265952621438  |        8 | American Express          |        346 | 1669     | 2015-05-01 00:00:00 | 2029-05-01 00:00:00 |       28 | 4731        |         170300 |
| 30281166009001   |        1 | Diners Club International |        347 | 331      | 2012-04-01 00:00:00 | 2027-04-01 00:00:00 |       27 | 5882        |         146700 |
| 348645627549556  |        8 | American Express          |        348 | 2474     | 2007-07-01 00:00:00 | 2017-07-01 00:00:00 |       21 | 7203        |          16900 |
| 379938347125407  |        8 | American Express          |        349 | 7339     | 2014-08-01 00:00:00 | 2033-08-01 00:00:00 |       15 | 3044        |         115700 |
| 374519539694809  |        8 | American Express          |        350 | 2630     | 2015-05-01 00:00:00 | 2025-05-01 00:00:00 |       24 | 8317        |          73400 |
| 4498916377457970 |        2 | Visa                      |        351 | 121      | 2012-06-01 00:00:00 | 2026-06-01 00:00:00 |       15 | 6001        |         109600 |
| 378241823610260  |        8 | American Express          |        352 | 5617     | 2009-07-01 00:00:00 | 2022-07-01 00:00:00 |       23 | 6772        |         153700 |
| 5452607082953760 |       10 | Master Card               |        353 | 778      | 2013-10-01 00:00:00 | 2027-10-01 00:00:00 |       13 | 6664        |          78600 |
| 4895688331773400 |       11 | Visa                      |        354 | 724      | 2011-08-01 00:00:00 | 2017-08-01 00:00:00 |       20 | 3528        |          13700 |
| 5363045587351040 |        9 | Master Card               |        355 | 205      | 2014-05-01 00:00:00 | 2023-05-01 00:00:00 |        2 | 2908        |         141700 |
| 372206726013728  |        8 | American Express          |        356 | 3444     | 2010-09-01 00:00:00 | 2012-09-01 00:00:00 |       15 | 1685        |          39600 |
| 5394335720072780 |        9 | Master Card               |        357 | 963      | 2014-06-01 00:00:00 | 2031-06-01 00:00:00 |       16 | 7681        |         138000 |
| 3565726185434060 |        3 | Japan Credit Bureau       |        358 | 629      | 2009-07-01 00:00:00 | 2018-07-01 00:00:00 |       15 | 2815        |          29300 |
| 3555645189397090 |        3 | Japan Credit Bureau       |        359 | 14       | 2008-08-01 00:00:00 | 2011-08-01 00:00:00 |       15 | 9470        |         127000 |
| 4376147054928860 |        5 | Visa                      |        360 | 180      | 2007-02-01 00:00:00 | 2019-02-01 00:00:00 |        6 | 4898        |         156600 |
| 4803181069071680 |        2 | Visa                      |        361 | 901      | 2008-07-01 00:00:00 | 2025-07-01 00:00:00 |       27 | 5159        |          76300 |
| 3550672913355840 |        3 | Japan Credit Bureau       |        362 | 918      | 2013-01-01 00:00:00 | 2024-01-01 00:00:00 |        3 | 7069        |          40000 |
| 378176290671678  |       11 | American Express          |        363 | 4860     | 2013-10-01 00:00:00 | 2029-10-01 00:00:00 |       10 | 1593        |          95800 |
| 344546806193519  |        7 | American Express          |        364 | 9704     | 2013-03-01 00:00:00 | 2023-03-01 00:00:00 |       10 | 4848        |          17900 |
| 347514289109508  |        8 | American Express          |        365 | 9749     | 2014-05-01 00:00:00 | 2018-05-01 00:00:00 |       20 | 7218        |          12600 |
| 30437445713090   |        1 | Diners Club International |        366 | 495      | 2016-05-01 00:00:00 | 2034-05-01 00:00:00 |       11 | 2714        |          25600 |
| 6011687251797120 |        6 | Discover                  |        367 | 7        | 2010-09-01 00:00:00 | 2028-09-01 00:00:00 |       12 | 5007        |          12700 |
| 346537977588155  |        8 | American Express          |        368 | 7828     | 2010-11-01 00:00:00 | 2027-11-01 00:00:00 |        4 | 6863        |         184600 |
| 6011102443877630 |        6 | Discover                  |        369 | 475      | 2015-09-01 00:00:00 | 2025-09-01 00:00:00 |        1 | 196         |         182200 |
| 5489943384746170 |        2 | Master Card               |        370 | 46       | 2009-01-01 00:00:00 | 2012-01-01 00:00:00 |       16 | 1033        |         176200 |
| 4422242087541360 |       11 | Visa                      |        371 | 558      | 2015-02-01 00:00:00 | 2025-02-01 00:00:00 |       24 | 876         |          72800 |
| 345356129197992  |        8 | American Express          |        372 | 9933     | 2017-07-01 00:00:00 | 2037-07-01 00:00:00 |        7 | 1034        |          34700 |
| 3543824744497860 |        3 | Japan Credit Bureau       |        373 | 590      | 2011-05-01 00:00:00 | 2029-05-01 00:00:00 |       21 | 4100        |         116100 |
| 4355540749952660 |        7 | Visa                      |        374 | 474      | 2012-11-01 00:00:00 | 2024-11-01 00:00:00 |        8 | 9388        |         109100 |
| 4513717738532330 |        2 | Visa                      |        375 | 76       | 2015-05-01 00:00:00 | 2020-05-01 00:00:00 |        9 | 8518        |          66500 |
| 3544176686324220 |        3 | Japan Credit Bureau       |        376 | 73       | 2007-12-01 00:00:00 | 2008-12-01 00:00:00 |       28 | 6842        |          38900 |
| 3565714790979880 |        3 | Japan Credit Bureau       |        377 | 199      | 2017-04-01 00:00:00 | 2029-04-01 00:00:00 |       27 | 8424        |          13100 |
| 5368123698466710 |        5 | Master Card               |        378 | 989      | 2010-05-01 00:00:00 | 2012-05-01 00:00:00 |       24 | 7573        |          23200 |
| 6011747387171720 |        6 | Discover                  |        379 | 684      | 2015-08-01 00:00:00 | 2034-08-01 00:00:00 |       13 | 3243        |         119700 |
| 3561835244708050 |        3 | Japan Credit Bureau       |        380 | 84       | 2009-11-01 00:00:00 | 2010-11-01 00:00:00 |       25 | 6723        |          25400 |
| 3567453749678780 |        3 | Japan Credit Bureau       |        381 | 388      | 2016-03-01 00:00:00 | 2027-03-01 00:00:00 |       16 | 6527        |         136500 |
| 6522148081740440 |        6 | Discover                  |        382 | 506      | 2008-08-01 00:00:00 | 2018-08-01 00:00:00 |        1 | 3464        |          90600 |
| 348453826440739  |        7 | American Express          |        383 | 4289     | 2008-08-01 00:00:00 | 2025-08-01 00:00:00 |        4 | 3771        |          32700 |
| 30437553119809   |        1 | Diners Club International |        384 | 874      | 2008-12-01 00:00:00 | 2023-12-01 00:00:00 |        1 | 5358        |          41900 |
| 5257815657401570 |        2 | Master Card               |        385 | 19       | 2007-11-01 00:00:00 | 2008-11-01 00:00:00 |       26 | 2144        |          92300 |
| 342806298084275  |        8 | American Express          |        386 | 9525     | 2008-11-01 00:00:00 | 2026-11-01 00:00:00 |       17 | 5831        |         100100 |
| 4074947439917700 |       10 | Visa                      |        387 | 663      | 2009-11-01 00:00:00 | 2020-11-01 00:00:00 |       10 | 9247        |         187500 |
| 6222335024372080 |        6 | Discover                  |        388 | 875      | 2008-07-01 00:00:00 | 2025-07-01 00:00:00 |        9 | 2475        |         155200 |
| 3564983732416440 |        3 | Japan Credit Bureau       |        389 | 848      | 2008-11-01 00:00:00 | 2023-11-01 00:00:00 |       23 | 3477        |         119500 |
| 5119135037755860 |        9 | Master Card               |        390 | 838      | 2009-12-01 00:00:00 | 2029-12-01 00:00:00 |        5 | 442         |         142900 |
| 3579538869705980 |        3 | Japan Credit Bureau       |        391 | 206      | 2015-09-01 00:00:00 | 2027-09-01 00:00:00 |        2 | 1064        |         193500 |
| 5456089970351610 |        2 | Master Card               |        392 | 77       | 2015-06-01 00:00:00 | 2028-06-01 00:00:00 |       26 | 8534        |         160100 |
| 345460985310895  |        8 | American Express          |        393 | 1172     | 2010-06-01 00:00:00 | 2020-06-01 00:00:00 |        2 | 4925        |         110000 |
| 6599334440959820 |        6 | Discover                  |        394 | 235      | 2008-01-01 00:00:00 | 2009-01-01 00:00:00 |        7 | 5750        |          27200 |
| 5122401108907970 |        2 | Master Card               |        395 | 540      | 2008-11-01 00:00:00 | 2009-11-01 00:00:00 |       13 | 9950        |          47200 |
| 4121643667812060 |        7 | Visa                      |        396 | 414      | 2015-01-01 00:00:00 | 2028-01-01 00:00:00 |       20 | 1247        |         186900 |
| 4664374321489710 |        2 | Visa                      |        397 | 306      | 2017-12-01 00:00:00 | 2027-12-01 00:00:00 |        6 | 4004        |         123500 |
| 4682946505964400 |        2 | Visa                      |        398 | 823      | 2007-02-01 00:00:00 | 2018-02-01 00:00:00 |        7 | 4093        |         198000 |
| 4724727798848370 |        7 | Visa                      |        399 | 87       | 2015-10-01 00:00:00 | 2028-10-01 00:00:00 |        2 | 6831        |         195600 |
| 4569122370699120 |       12 | Visa                      |        400 | 357      | 2017-05-01 00:00:00 | 2026-05-01 00:00:00 |        9 | 1493        |          49100 |
| 346815368238808  |        7 | American Express          |        401 | 3295     | 2007-09-01 00:00:00 | 2020-09-01 00:00:00 |       14 | 1558        |          87800 |
| 3570240270278130 |        3 | Japan Credit Bureau       |        402 | 174      | 2011-02-01 00:00:00 | 2029-02-01 00:00:00 |       15 | 5652        |         118600 |
| 371517061955351  |       11 | American Express          |        403 | 8474     | 2007-02-01 00:00:00 | 2023-02-01 00:00:00 |       24 | 4132        |          50000 |
| 3567055375294890 |        3 | Japan Credit Bureau       |        404 | 730      | 2017-09-01 00:00:00 | 2022-09-01 00:00:00 |       27 | 6254        |         177500 |
| 36606576577458   |        1 | Diners Club International |        405 | 576      | 2017-06-01 00:00:00 | 2027-06-01 00:00:00 |        5 | 3979        |         167100 |
| 4409694383736070 |       15 | Visa                      |        406 | 139      | 2015-12-01 00:00:00 | 2025-12-01 00:00:00 |       10 | 1794        |          18900 |
| 6459346286022980 |        6 | Discover                  |        407 | 594      | 2008-09-01 00:00:00 | 2018-09-01 00:00:00 |        6 | 7813        |          97000 |
| 3584786601747570 |        3 | Japan Credit Bureau       |        408 | 425      | 2014-11-01 00:00:00 | 2024-11-01 00:00:00 |       13 | 2921        |         184900 |
| 6011842231401020 |        6 | Discover                  |        409 | 813      | 2007-01-01 00:00:00 | 2026-01-01 00:00:00 |       10 | 9961        |         179400 |
| 3534134956843800 |        3 | Japan Credit Bureau       |        410 | 546      | 2014-06-01 00:00:00 | 2033-06-01 00:00:00 |       17 | 2811        |          41900 |
| 6225509715850220 |        6 | Discover                  |        411 | 130      | 2011-03-01 00:00:00 | 2022-03-01 00:00:00 |       21 | 6132        |          72400 |
| 6011256558073370 |        6 | Discover                  |        412 | 318      | 2012-05-01 00:00:00 | 2028-05-01 00:00:00 |       27 | 1103        |         152300 |
| 30312758862331   |        1 | Diners Club International |        413 | 92       | 2010-01-01 00:00:00 | 2012-01-01 00:00:00 |        2 | 5695        |         127700 |
| 5374892100124050 |        2 | Master Card               |        414 | 184      | 2010-02-01 00:00:00 | 2023-02-01 00:00:00 |        5 | 403         |          46900 |
| 3569687221994990 |        3 | Japan Credit Bureau       |        415 | 964      | 2008-04-01 00:00:00 | 2026-04-01 00:00:00 |       27 | 4917        |         100800 |
| 3536418243060310 |        3 | Japan Credit Bureau       |        416 | 751      | 2014-06-01 00:00:00 | 2032-06-01 00:00:00 |       25 | 8309        |          97400 |
| 4576698037961310 |        9 | Visa                      |        417 | 671      | 2015-04-01 00:00:00 | 2018-04-01 00:00:00 |       20 | 6638        |         179700 |
| 4992470950089480 |        2 | Visa                      |        418 | 180      | 2011-03-01 00:00:00 | 2017-03-01 00:00:00 |        1 | 6985        |         160000 |
| 30508784562239   |        1 | Diners Club International |        419 | 901      | 2007-12-01 00:00:00 | 2013-12-01 00:00:00 |       21 | 3554        |          64100 |
| 4685801877338350 |        2 | Visa                      |        420 | 906      | 2012-08-01 00:00:00 | 2014-08-01 00:00:00 |       28 | 8309        |         197000 |
| 6011227395178100 |        6 | Discover                  |        421 | 825      | 2008-12-01 00:00:00 | 2027-12-01 00:00:00 |       19 | 5032        |         197900 |
| 5434864250765550 |        2 | Master Card               |        422 | 915      | 2009-11-01 00:00:00 | 2024-11-01 00:00:00 |       28 | 7537        |          86800 |
| 6011096491337810 |        6 | Discover                  |        423 | 657      | 2013-02-01 00:00:00 | 2016-02-01 00:00:00 |       12 | 7579        |          79300 |
| 372135418192211  |        8 | American Express          |        424 | 3437     | 2013-08-01 00:00:00 | 2029-08-01 00:00:00 |        1 | 3114        |          72400 |
| 6011676101084170 |        6 | Discover                  |        425 | 652      | 2012-01-01 00:00:00 | 2020-01-01 00:00:00 |        3 | 5592        |         180500 |
| 341538087188881  |       11 | American Express          |        426 | 2638     | 2011-10-01 00:00:00 | 2015-10-01 00:00:00 |       11 | 5055        |         134100 |
| 4966721347451020 |       13 | Visa                      |        427 | 742      | 2007-01-01 00:00:00 | 2026-01-01 00:00:00 |        2 | 765         |          24300 |
| 3550139278045680 |        3 | Japan Credit Bureau       |        428 | 6        | 2011-03-01 00:00:00 | 2031-03-01 00:00:00 |       22 | 3438        |         175800 |
| 374535824110186  |        8 | American Express          |        429 | 4806     | 2014-12-01 00:00:00 | 2034-12-01 00:00:00 |       23 | 5579        |         117000 |
| 5401847677028170 |        2 | Master Card               |        430 | 918      | 2010-09-01 00:00:00 | 2013-09-01 00:00:00 |       19 | 4427        |         181700 |
| 5462834079828330 |       11 | Master Card               |        431 | 379      | 2012-08-01 00:00:00 | 2030-08-01 00:00:00 |        3 | 2865        |          33600 |
| 6582889790317510 |        6 | Discover                  |        432 | 432      | 2007-11-01 00:00:00 | 2027-11-01 00:00:00 |        7 | 7041        |         126000 |
| 377236881286228  |        5 | American Express          |        433 | 4912     | 2008-10-01 00:00:00 | 2018-10-01 00:00:00 |       28 | 7529        |         193800 |
| 377502296155542  |       11 | American Express          |        434 | 8373     | 2007-07-01 00:00:00 | 2016-07-01 00:00:00 |       10 | 5123        |          37500 |
| 378684371890216  |        8 | American Express          |        435 | 1398     | 2011-01-01 00:00:00 | 2021-01-01 00:00:00 |       22 | 3283        |         161000 |
| 379158897662358  |        8 | American Express          |        436 | 1530     | 2012-10-01 00:00:00 | 2013-10-01 00:00:00 |       11 | 606         |          11100 |
| 30313314729428   |        1 | Diners Club International |        437 | 880      | 2010-04-01 00:00:00 | 2025-04-01 00:00:00 |       17 | 9396        |         107300 |
| 36800841607345   |        1 | Diners Club International |        438 | 541      | 2012-05-01 00:00:00 | 2027-05-01 00:00:00 |       15 | 2887        |         156800 |
| 4186360048098790 |        2 | Visa                      |        439 | 340      | 2017-07-01 00:00:00 | 2032-07-01 00:00:00 |       24 | 9931        |          57300 |
| 5418426305805070 |        9 | Master Card               |        440 | 315      | 2008-08-01 00:00:00 | 2027-08-01 00:00:00 |        1 | 6270        |         114600 |
| 6011558800215240 |        6 | Discover                  |        441 | 87       | 2013-08-01 00:00:00 | 2015-08-01 00:00:00 |        8 | 9783        |         155400 |
| 347487869477530  |        8 | American Express          |        442 | 8231     | 2013-07-01 00:00:00 | 2020-07-01 00:00:00 |        5 | 6930        |          30300 |
| 3580955119216930 |        3 | Japan Credit Bureau       |        443 | 741      | 2014-08-01 00:00:00 | 2027-08-01 00:00:00 |       24 | 2971        |         102600 |
| 372026469797364  |        8 | American Express          |        444 | 300      | 2008-03-01 00:00:00 | 2021-03-01 00:00:00 |        1 | 3732        |          33900 |
| 30150538277598   |        1 | Diners Club International |        445 | 190      | 2016-09-01 00:00:00 | 2029-09-01 00:00:00 |       24 | 4133        |         183100 |
| 348664132165246  |        8 | American Express          |        446 | 5776     | 2012-09-01 00:00:00 | 2026-09-01 00:00:00 |       26 | 2683        |          77900 |
| 5286468894472420 |        7 | Master Card               |        447 | 612      | 2008-03-01 00:00:00 | 2022-03-01 00:00:00 |       22 | 2647        |         146500 |
| 340959146333816  |       11 | American Express          |        448 | 5133     | 2017-01-01 00:00:00 | 2030-01-01 00:00:00 |        9 | 9673        |         123100 |
| 6011389205997670 |        6 | Discover                  |        449 | 925      | 2011-07-01 00:00:00 | 2022-07-01 00:00:00 |       23 | 8997        |          27400 |
| 36023055861322   |        1 | Diners Club International |        450 | 543      | 2015-12-01 00:00:00 | 2024-12-01 00:00:00 |       18 | 5987        |          90000 |
| 4784932203952520 |        2 | Visa                      |        451 | 447      | 2017-09-01 00:00:00 | 2030-09-01 00:00:00 |       27 | 2207        |          26100 |
| 6228635498601660 |        6 | Discover                  |        452 | 945      | 2010-08-01 00:00:00 | 2021-08-01 00:00:00 |       10 | 5766        |          26600 |
| 30293431838304   |        1 | Diners Club International |        453 | 392      | 2008-07-01 00:00:00 | 2011-07-01 00:00:00 |       14 | 2351        |         181700 |
| 344736728732276  |        5 | American Express          |        454 | 89       | 2007-06-01 00:00:00 | 2011-06-01 00:00:00 |       12 | 5596        |          50800 |
| 3565096966470190 |        3 | Japan Credit Bureau       |        455 | 219      | 2009-01-01 00:00:00 | 2020-01-01 00:00:00 |        6 | 2535        |          33900 |
| 4968195542377020 |       11 | Visa                      |        456 | 911      | 2012-03-01 00:00:00 | 2030-03-01 00:00:00 |       15 | 2418        |         104300 |
| 342186606356081  |        8 | American Express          |        457 | 6508     | 2016-12-01 00:00:00 | 2036-12-01 00:00:00 |        6 | 7950        |         113900 |
| 30570045127384   |        1 | Diners Club International |        458 | 406      | 2008-10-01 00:00:00 | 2012-10-01 00:00:00 |       11 | 40          |          72100 |
| 4541859828825370 |        2 | Visa                      |        459 | 125      | 2008-08-01 00:00:00 | 2012-08-01 00:00:00 |        2 | 4724        |         125600 |
| 4058341605466640 |        7 | Visa                      |        460 | 276      | 2014-09-01 00:00:00 | 2034-09-01 00:00:00 |       26 | 5904        |          33200 |
| 6506681952194590 |        6 | Discover                  |        461 | 925      | 2010-12-01 00:00:00 | 2028-12-01 00:00:00 |        4 | 8791        |         101700 |
| 3553645961190810 |        3 | Japan Credit Bureau       |        462 | 256      | 2008-05-01 00:00:00 | 2028-05-01 00:00:00 |        7 | 1739        |         184400 |
| 4005584888020840 |        7 | Visa                      |        463 | 638      | 2014-03-01 00:00:00 | 2029-03-01 00:00:00 |       10 | 1758        |         164200 |
| 5168775219616630 |        2 | Master Card               |        464 | 758      | 2014-08-01 00:00:00 | 2031-08-01 00:00:00 |        8 | 1196        |         112700 |
| 6011315654956170 |        6 | Discover                  |        465 | 43       | 2013-05-01 00:00:00 | 2033-05-01 00:00:00 |        2 | 394         |         155600 |
| 372010969719813  |       11 | American Express          |        466 | 4517     | 2010-08-01 00:00:00 | 2028-08-01 00:00:00 |        9 | 5271        |         191100 |
| 377801752590915  |        8 | American Express          |        467 | 2294     | 2011-01-01 00:00:00 | 2016-01-01 00:00:00 |       20 | 864         |          81000 |
| 30990556966931   |        1 | Diners Club International |        468 | 401      | 2013-05-01 00:00:00 | 2015-05-01 00:00:00 |       17 | 2304        |          84700 |
| 345987231029416  |        8 | American Express          |        469 | 9268     | 2013-09-01 00:00:00 | 2027-09-01 00:00:00 |       20 | 3125        |          68700 |
| 4276450530935300 |        7 | Visa                      |        470 | 659      | 2015-05-01 00:00:00 | 2034-05-01 00:00:00 |       20 | 7227        |          88500 |
| 30937189411454   |        1 | Diners Club International |        471 | 908      | 2012-09-01 00:00:00 | 2020-09-01 00:00:00 |       20 | 5203        |          61500 |
| 5218179857929110 |        9 | Master Card               |        472 | 261      | 2016-07-01 00:00:00 | 2017-07-01 00:00:00 |        1 | 7403        |         161600 |
| 6011813874819410 |        6 | Discover                  |        473 | 310      | 2016-07-01 00:00:00 | 2031-07-01 00:00:00 |       11 | 2151        |          85800 |
| 4785504965242330 |        4 | Visa                      |        474 | 607      | 2011-11-01 00:00:00 | 2019-11-01 00:00:00 |       17 | 317         |          98000 |
| 379130899717142  |        8 | American Express          |        475 | 855      | 2017-02-01 00:00:00 | 2029-02-01 00:00:00 |        8 | 4329        |         182000 |
| 4140182420913570 |        2 | Visa                      |        476 | 164      | 2009-09-01 00:00:00 | 2011-09-01 00:00:00 |       18 | 8343        |         136000 |
